                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.82575,                0.63436,                 1.0529,                0.93611,                0.90393,                0.96095,                0.75131,                0.79765,                0.50066,                0.98537,               0.001604,               0.001604,               0.001604
                     63,                0.84087,                0.63156,                 1.0544,                0.94812,                0.87782,                0.95695,                0.73386,                0.81771,                0.52355,                0.98681,              0.0015974,              0.0015974,              0.0015974
                     64,                 0.8138,                0.62143,                 1.0485,                0.93145,                0.87118,                0.95299,                0.74314,                0.80097,                0.53203,                0.99218,              0.0015908,              0.0015908,              0.0015908
                     65,                0.80831,                0.60441,                 1.0331,                0.92058,                 0.8605,                0.94634,                0.73127,                0.82275,                0.52112,                 1.0025,              0.0015842,              0.0015842,              0.0015842
                     66,                0.80497,                0.60813,                  1.033,                0.94491,                0.89875,                0.96313,                0.74525,                0.79828,                0.51246,                 1.0043,              0.0015776,              0.0015776,              0.0015776
                     67,                0.81759,                0.61489,                 1.0304,                0.93918,                0.89738,                0.96086,                0.73306,                0.80455,                0.51069,                0.98688,               0.001571,               0.001571,               0.001571
                     68,                0.78761,                0.58275,                 1.0231,                0.94438,                0.88979,                0.95961,                0.73561,                0.77828,                0.50764,                0.97195,              0.0015644,              0.0015644,              0.0015644
                     69,                0.81006,                0.61813,                 1.0422,                0.89464,                0.89301,                0.94319,                0.73427,                0.81055,                0.54904,                0.99003,              0.0015578,              0.0015578,              0.0015578
                     70,                 0.7907,                0.59404,                 1.0348,                0.90909,                0.88428,                0.94488,                0.72387,                0.79308,                0.51441,                0.97816,              0.0015512,              0.0015512,              0.0015512
                     71,                0.80116,                0.59542,                 1.0528,                0.93181,                0.89512,                0.94658,                0.72421,                0.78077,                0.51588,                0.97132,              0.0015446,              0.0015446,              0.0015446
                     72,                0.78687,                0.57013,                 1.0199,                0.89987,                 0.9214,                0.95533,                0.73884,                0.80329,                0.52586,                0.98684,               0.001538,               0.001538,               0.001538
                     73,                 0.7983,                0.58161,                 1.0346,                0.92993,                0.88428,                0.95472,                0.74009,                0.79065,                0.50556,                0.98054,              0.0015314,              0.0015314,              0.0015314
                     74,                0.81917,                0.60019,                 1.0325,                0.93221,                0.90078,                0.96549,                0.74589,                0.79159,                 0.4976,                0.97827,              0.0015248,              0.0015248,              0.0015248
                     75,                  0.822,                0.62601,                 1.0545,                0.91869,                 0.8952,                0.96006,                 0.7456,                0.79435,                0.49214,                0.98649,              0.0015182,              0.0015182,              0.0015182
                     76,                 0.7998,                0.59319,                 1.0214,                0.92705,                0.89083,                0.96277,                0.74737,                0.80469,                0.49813,                0.99809,              0.0015116,              0.0015116,              0.0015116
                     77,                0.79383,                0.59554,                 1.0239,                 0.9327,                 0.8775,                0.95389,                0.72683,                0.82002,                0.51476,                0.99577,               0.001505,               0.001505,               0.001505
                     78,                0.78899,                0.59173,                  1.025,                0.90271,                0.89956,                0.95511,                0.73657,                0.81198,                0.52982,                0.99508,              0.0014984,              0.0014984,              0.0014984
                     79,                0.79533,                0.59185,                 1.0196,                0.93294,                0.88095,                0.95636,                0.74205,                 0.7814,                0.50669,                0.98104,              0.0014918,              0.0014918,              0.0014918
                     80,                0.78107,                0.58763,                 1.0187,                0.95036,                0.87336,                0.95313,                0.73563,                0.76978,                0.52556,                 0.9639,              0.0014852,              0.0014852,              0.0014852
                     81,                0.77363,                0.54965,                 1.0138,                0.94757,                0.90762,                0.96319,                0.74702,                0.78258,                0.48923,                0.98116,              0.0014786,              0.0014786,              0.0014786
                     82,                0.77145,                0.57976,                 1.0155,                0.94031,                0.89424,                0.96069,                0.75312,                0.75247,                0.49774,                0.95938,               0.001472,               0.001472,               0.001472
